0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2.0,-5.0,1.0,1.0,2.0,3.0,4.0,5.0,-1.0,-4.0,-1.0,0.0,3.0,8.0,9.0,6.0,10.0,19.0,10.0,6.0,7.0,7.0,6.0,7.0,1
2.0,1.0,-6.0,-5.0,-10.0,-8.0,-8.0,-2.0,-16.0,-5.0,-7.0,-8.0,-11.0,-9.0,-10.0,-11.0,-7.0,-11.0,-15.0,-14.0,-13.0,-10.0,-9.0,-4.0,1
-31.0,-24.0,-23.0,-23.0,23.0,-28.0,-80.0,-205.0,-56.0,-20.0,-17.0,-12.0,-4.0,-15.0,-32.0,-63.0,-30.0,-20.0,-10.0,-15.0,-5.0,-7.0,-16.0,-29.0,1
-3.0,-8.0,-8.0,-12.0,-7.0,1.0,0.0,-7.0,-6.0,-10.0,-11.0,-9.0,-6.0,1.0,-2.0,-4.0,-9.0,-8.0,-10.0,-8.0,-4.0,-2.0,-4.0,-6.0,1
-26.0,-24.0,-44.0,129.0,-250.0,17.0,7.0,19.0,-12.0,-12.0,-17.0,-30.0,-37.0,-5.0,-12.0,19.0,-8.0,-16.0,-22.0,-10.0,-30.0,-16.0,-9.0,-2.0,1
-27.0,-28.0,-33.0,77.0,-5.0,-9.0,-2.0,5.0,-15.0,-24.0,-20.0,-13.0,-1.0,-1.0,0.0,-9.0,-15.0,-13.0,-24.0,-3.0,-10.0,-14.0,-12.0,-13.0,1
9.0,14.0,-2.0,-6.0,22.0,-7.0,-156.0,-876.0,-7.0,3.0,2.0,0.0,4.0,1.0,0.0,-50.0,11.0,-17.0,9.0,-1.0,5.0,4.0,-1.0,-26.0,1
-10.0,-11.0,-8.0,-1.0,2.0,5.0,7.0,20.0,-4.0,0.0,6.0,2.0,2.0,8.0,8.0,10.0,-2.0,3.0,5.0,8.0,4.0,8.0,7.0,5.0,1
-24.0,-12.0,-16.0,-9.0,-14.0,-14.0,-18.0,-24.0,-3.0,-18.0,-19.0,-16.0,-15.0,-14.0,-10.0,-16.0,-10.0,-8.0,-6.0,-7.0,-10.0,-8.0,-8.0,-8.0,1
-20.0,-29.0,-25.0,-25.0,-32.0,-31.0,-29.0,-25.0,3.0,-20.0,-31.0,-32.0,-24.0,-15.0,-19.0,-12.0,-2.0,3.0,7.0,4.0,-16.0,-12.0,-12.0,-11.0,1
-3.0,-2.0,-13.0,6.0,53.0,-42.0,-334.0,-1016.0,-6.0,3.0,-4.0,1.0,0.0,-38.0,-63.0,-88.0,-18.0,-47.0,-20.0,64.0,-8.0,-29.0,-39.0,-47.0,1
-30.0,-45.0,-66.0,192.0,-182.0,19.0,29.0,70.0,-40.0,-30.0,-2.0,-3.0,-2.0,10.0,19.0,-16.0,-25.0,-44.0,-31.0,-12.0,-3.0,-3.0,-5.0,-10.0,1
26.0,14.0,47.0,-80.0,149.0,36.0,23.0,-9.0,2.0,6.0,15.0,20.0,22.0,25.0,41.0,22.0,-7.0,10.0,4.0,-13.0,-1.0,-17.0,5.0,12.0,1
27.0,25.0,41.0,24.0,21.0,20.0,20.0,33.0,15.0,28.0,37.0,30.0,22.0,19.0,6.0,15.0,5.0,4.0,6.0,17.0,21.0,25.0,12.0,8.0,1
37.0,33.0,41.0,-74.0,135.0,5.0,82.0,170.0,51.0,32.0,21.0,14.0,18.0,6.0,5.0,14.0,23.0,14.0,12.0,10.0,19.0,21.0,7.0,3.0,1
7.0,2.0,2.0,8.0,0.0,9.0,14.0,27.0,3.0,4.0,6.0,6.0,1.0,1.0,9.0,10.0,5.0,8.0,3.0,8.0,3.0,1.0,4.0,6.0,1
