0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
-4.0,-5.0,-5.0,-5.0,0.0,-7.0,-27.0,-5.0,6.0,-12.0,-2.0,4.0,6.0,5.0,0.0,-7.0,3
-6.0,-6.0,-5.0,-10.0,-7.0,-6.0,-6.0,-5.0,7.0,-16.0,-6.0,-2.0,-6.0,-9.0,-7.0,-6.0,3
21.0,13.0,13.0,14.0,16.0,18.0,33.0,20.0,24.0,-171.0,14.0,15.0,8.0,13.0,27.0,19.0,3
-3.0,-5.0,-5.0,-7.0,-17.0,-16.0,-1.0,-2.0,-10.0,3.0,-4.0,-10.0,-23.0,-35.0,-4.0,0.0,3
20.0,20.0,19.0,16.0,0.0,-41.0,13.0,16.0,2.0,18.0,10.0,-1.0,-21.0,-83.0,-20.0,5.0,3
-11.0,-13.0,-12.0,-13.0,0.0,37.0,35.0,0.0,-13.0,-12.0,-12.0,-10.0,0.0,-20.0,0.0,-7.0,3
63.0,64.0,64.0,65.0,68.0,80.0,49.0,64.0,5.0,62.0,70.0,78.0,91.0,140.0,139.0,80.0,3
0.0,1.0,3.0,6.0,15.0,28.0,21.0,11.0,7.0,2.0,2.0,6.0,14.0,32.0,29.0,3.0,3
10.0,10.0,14.0,21.0,26.0,-13.0,1.0,5.0,4.0,0.0,12.0,22.0,16.0,-4.0,-2.0,4.0,3
16.0,15.0,15.0,14.0,12.0,58.0,41.0,22.0,-5.0,18.0,14.0,14.0,4.0,-12.0,15.0,18.0,3
20.0,20.0,23.0,29.0,41.0,59.0,37.0,25.0,-40.0,52.0,29.0,30.0,30.0,40.0,23.0,18.0,3
-14.0,-12.0,-10.0,-9.0,-12.0,-12.0,-21.0,-17.0,-22.0,-5.0,-6.0,-4.0,-10.0,-2.0,-37.0,-9.0,3
0.0,-2.0,2.0,6.0,5.0,-32.0,-14.0,-11.0,34.0,-31.0,6.0,21.0,30.0,27.0,-32.0,-8.0,3
0.0,5.0,7.0,8.0,-1.0,-16.0,-9.0,-3.0,53.0,-16.0,3.0,7.0,15.0,12.0,6.0,0.0,3
14.0,15.0,14.0,15.0,15.0,-4.0,17.0,16.0,26.0,12.0,21.0,22.0,23.0,53.0,45.0,27.0,3
3.0,3.0,4.0,9.0,21.0,44.0,11.0,2.0,-7.0,9.0,8.0,14.0,15.0,54.0,-6.0,3.0,3
