0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
7.0,5.0,7.0,8.0,35.0,43.0,44.0,39.0,11.0,10.0,4.0,6.0,8.0,25.0,17.0,9.0,3
-6.0,-8.0,-7.0,-10.0,-28.0,-29.0,-29.0,-29.0,-3.0,-2.0,-11.0,-3.0,0.0,8.0,4.0,-6.0,3
-17.0,-48.0,-14.0,-9.0,12.0,25.0,13.0,8.0,-4.0,-6.0,-11.0,11.0,11.0,25.0,25.0,10.0,3
-5.0,-4.0,-6.0,-2.0,-8.0,-8.0,-11.0,-9.0,-4.0,-2.0,-1.0,-2.0,0.0,-6.0,-8.0,-6.0,3
17.0,20.0,10.0,15.0,13.0,14.0,12.0,12.0,14.0,15.0,-44.0,10.0,22.0,14.0,17.0,11.0,3
-1.0,8.0,-7.0,-2.0,5.0,9.0,19.0,13.0,0.0,-1.0,-50.0,-2.0,7.0,-9.0,-6.0,-1.0,3
5.0,3.0,-1.0,-5.0,-21.0,-6.0,-3.0,-4.0,0.0,-2.0,-7.0,-3.0,-7.0,-28.0,-7.0,-5.0,3
21.0,20.0,21.0,15.0,6.0,2.0,9.0,12.0,15.0,14.0,9.0,-2.0,-15.0,-44.0,-27.0,-17.0,3
-28.0,-22.0,-28.0,-25.0,-37.0,-42.0,-48.0,-44.0,-28.0,-27.0,-33.0,-29.0,-35.0,-41.0,-45.0,-53.0,3
-1.0,-34.0,-23.0,-8.0,5.0,35.0,19.0,8.0,5.0,2.0,-15.0,4.0,2.0,17.0,9.0,5.0,3
-6.0,-5.0,-1.0,4.0,7.0,11.0,6.0,3.0,3.0,6.0,-32.0,10.0,21.0,6.0,8.0,5.0,3
19.0,17.0,17.0,15.0,32.0,44.0,40.0,34.0,19.0,20.0,20.0,20.0,24.0,50.0,46.0,29.0,3
18.0,17.0,19.0,17.0,21.0,21.0,24.0,23.0,15.0,17.0,22.0,17.0,17.0,16.0,16.0,20.0,3
10.0,8.0,10.0,6.0,13.0,10.0,9.0,9.0,12.0,12.0,10.0,6.0,5.0,8.0,11.0,13.0,3
7.0,3.0,3.0,5.0,-4.0,-10.0,-5.0,-1.0,4.0,3.0,-2.0,6.0,3.0,-17.0,-13.0,-9.0,3
-13.0,-14.0,-13.0,-11.0,2.0,10.0,4.0,0.0,-10.0,-11.0,-3.0,0.0,5.0,29.0,8.0,6.0,3
-14.0,-10.0,-18.0,-13.0,-18.0,-15.0,-15.0,-16.0,-14.0,-14.0,-44.0,-16.0,-8.0,-9.0,-8.0,-9.0,3
14.0,21.0,3.0,14.0,31.0,29.0,31.0,29.0,10.0,7.0,-50.0,14.0,11.0,17.0,27.0,20.0,3
4.0,16.0,8.0,5.0,30.0,39.0,41.0,36.0,-4.0,-8.0,-9.0,10.0,4.0,19.0,16.0,17.0,3
12.0,21.0,8.0,12.0,13.0,14.0,14.0,14.0,9.0,8.0,-48.0,10.0,22.0,19.0,23.0,21.0,3
2.0,2.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,-14.0,-1.0,0.0,-2.0,-1.0,2.0,3
-3.0,0.0,-5.0,-2.0,-12.0,-12.0,-10.0,-9.0,1.0,2.0,-7.0,3.0,8.0,6.0,7.0,8.0,3
11.0,16.0,3.0,8.0,7.0,9.0,9.0,10.0,15.0,12.0,-28.0,7.0,19.0,7.0,9.0,16.0,3
-16.0,-19.0,-20.0,-21.0,-42.0,-59.0,-73.0,-59.0,-14.0,-20.0,-18.0,-21.0,-12.0,83.0,51.0,20.0,3
4.0,4.0,2.0,4.0,-9.0,-11.0,-6.0,-6.0,7.0,7.0,-3.0,0.0,0.0,2.0,14.0,12.0,3
-20.0,-2.0,-24.0,-15.0,-22.0,-15.0,-12.0,-16.0,-16.0,-23.0,-58.0,-24.0,-27.0,-43.0,-28.0,-30.0,3
25.0,20.0,22.0,18.0,38.0,48.0,45.0,35.0,9.0,5.0,-5.0,-6.0,-11.0,-55.0,-32.0,-27.0,3
-7.0,-3.0,-5.0,-5.0,-7.0,-8.0,-10.0,-12.0,-5.0,-3.0,-10.0,-2.0,-3.0,-4.0,4.0,5.0,3
46.0,48.0,39.0,39.0,35.0,38.0,58.0,57.0,47.0,45.0,28.0,30.0,15.0,-35.0,-7.0,21.0,3
-26.0,-25.0,-33.0,-33.0,-61.0,-52.0,-27.0,-25.0,-30.0,-29.0,-84.0,-34.0,-35.0,-73.0,-71.0,-62.0,3
-23.0,-21.0,-22.0,-20.0,-24.0,-21.0,-21.0,-20.0,-25.0,-27.0,-53.0,-24.0,-18.0,-17.0,-17.0,-17.0,3
-24.0,-10.0,-24.0,-31.0,-26.0,-31.0,-30.0,-28.0,-32.0,-35.0,-50.0,-39.0,-56.0,-77.0,-46.0,-47.0,3
4.0,5.0,4.0,16.0,49.0,52.0,43.0,38.0,1.0,6.0,11.0,27.0,37.0,25.0,10.0,10.0,3
8.0,21.0,0.0,-9.0,-43.0,-55.0,-52.0,-37.0,-7.0,-10.0,-41.0,-16.0,-32.0,-50.0,-27.0,-14.0,3
