0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
45.0,47.0,44.0,47.0,39.0,39.0,41.0,40.0,32.0,-15.0,23.0,29.0,25.0,23.0,29.0,29.0,2
-54.0,-62.0,-22.0,-49.0,-53.0,-63.0,-57.0,-53.0,-59.0,-24.0,-22.0,-45.0,-51.0,-50.0,-55.0,-56.0,2
-32.0,-43.0,-62.0,-48.0,-47.0,-43.0,-39.0,-37.0,-41.0,-134.0,-51.0,-48.0,-50.0,-49.0,-54.0,-47.0,2
22.0,-30.0,23.0,11.0,12.0,17.0,13.0,10.0,42.0,-48.0,29.0,8.0,11.0,13.0,13.0,21.0,2
104.0,-12.0,30.0,35.0,31.0,28.0,27.0,38.0,54.0,0.0,51.0,39.0,33.0,19.0,19.0,12.0,2
20.0,-15.0,12.0,10.0,8.0,4.0,8.0,20.0,-18.0,35.0,38.0,13.0,12.0,11.0,19.0,14.0,2
-24.0,-16.0,-19.0,-16.0,-11.0,-6.0,1.0,-22.0,27.0,-38.0,-18.0,-13.0,-13.0,-16.0,-13.0,-13.0,2
-36.0,-283.0,-86.0,-76.0,-78.0,-77.0,-75.0,-72.0,10.0,-455.0,-63.0,-72.0,-77.0,-75.0,-72.0,-68.0,2
-403.0,-163.0,119.0,98.0,104.0,88.0,89.0,94.0,-308.0,-169.0,70.0,110.0,120.0,108.0,119.0,125.0,2
-270.0,-177.0,-42.0,-54.0,-50.0,-58.0,-71.0,-65.0,-105.0,-218.0,-51.0,-52.0,-47.0,-39.0,-42.0,-49.0,2
11.0,25.0,35.0,30.0,30.0,32.0,41.0,37.0,53.0,11.0,24.0,25.0,27.0,26.0,29.0,27.0,2
-355.0,-436.0,-143.0,-181.0,-175.0,-190.0,-192.0,-191.0,-404.0,-434.0,-193.0,-190.0,-185.0,-163.0,-130.0,-128.0,2
-578.0,-208.0,-107.0,-114.0,-104.0,-123.0,-105.0,-106.0,-330.0,-410.0,-142.0,-114.0,-105.0,-78.0,-35.0,-12.0,2
64.0,21.0,-10.0,6.0,9.0,16.0,15.0,21.0,0.0,147.0,-1.0,8.0,10.0,7.0,19.0,28.0,2
-176.0,1.0,53.0,48.0,41.0,39.0,45.0,45.0,-29.0,-5.0,42.0,50.0,55.0,31.0,44.0,50.0,2
29.0,8.0,51.0,42.0,43.0,39.0,48.0,49.0,38.0,45.0,46.0,50.0,49.0,49.0,48.0,49.0,2
94.0,40.0,42.0,44.0,48.0,54.0,50.0,55.0,55.0,-97.0,31.0,38.0,42.0,49.0,54.0,43.0,2
-492.0,-245.0,-89.0,-119.0,-109.0,-124.0,-119.0,-120.0,-299.0,-726.0,-106.0,-111.0,-105.0,-83.0,-73.0,-50.0,2
354.0,275.0,203.0,224.0,217.0,223.0,229.0,237.0,307.0,682.0,153.0,195.0,204.0,194.0,192.0,171.0,2
13.0,9.0,-22.0,-11.0,-11.0,-9.0,-10.0,-8.0,-15.0,90.0,-26.0,-10.0,-13.0,-13.0,-13.0,-9.0,2
-140.0,-106.0,-10.0,-36.0,-36.0,-41.0,-41.0,-27.0,-64.0,-173.0,-6.0,-24.0,-29.0,-29.0,-28.0,-31.0,2
-185.0,-145.0,55.0,36.0,38.0,30.0,28.0,32.0,-178.0,-80.0,32.0,37.0,42.0,54.0,69.0,90.0,2
37.0,63.0,31.0,20.0,28.0,31.0,32.0,29.0,29.0,37.0,58.0,31.0,29.0,24.0,28.0,32.0,2
-63.0,-92.0,-21.0,-39.0,-48.0,-55.0,-56.0,-56.0,-66.0,-98.0,-38.0,-48.0,-53.0,-56.0,-65.0,-70.0,2
17.0,17.0,19.0,9.0,13.0,18.0,22.0,14.0,1.0,-33.0,13.0,4.0,5.0,0.0,1.0,-1.0,2
46.0,-645.0,168.0,149.0,152.0,136.0,133.0,142.0,42.0,-320.0,145.0,153.0,154.0,171.0,192.0,194.0,2
-7.0,-12.0,-19.0,-27.0,-29.0,-35.0,-40.0,-31.0,-1.0,5.0,-10.0,-22.0,-27.0,-29.0,-16.0,-21.0,2
-158.0,-278.0,-43.0,-46.0,-50.0,-61.0,-50.0,-48.0,-91.0,-309.0,-42.0,-43.0,-43.0,-33.0,-21.0,1.0,2
516.0,-512.0,-84.0,67.0,68.0,61.0,28.0,71.0,272.0,429.0,31.0,62.0,58.0,11.0,7.0,8.0,2
-62.0,-89.0,-43.0,-51.0,-49.0,-54.0,-52.0,-55.0,-63.0,-90.0,-29.0,-38.0,-46.0,-47.0,-56.0,-58.0,2
-47.0,-75.0,52.0,83.0,88.0,84.0,92.0,89.0,21.0,12.0,82.0,80.0,84.0,89.0,101.0,102.0,2
20.0,39.0,-16.0,11.0,15.0,18.0,26.0,10.0,26.0,27.0,-35.0,7.0,11.0,10.0,5.0,7.0,2
62.0,-182.0,-25.0,-6.0,-1.0,5.0,-3.0,-4.0,88.0,-332.0,0.0,-7.0,-1.0,5.0,2.0,6.0,2
-250.0,98.0,4.0,5.0,3.0,4.0,2.0,5.0,-14.0,-30.0,-9.0,-2.0,-1.0,2.0,2.0,15.0,2
-28.0,-6.0,14.0,7.0,7.0,5.0,1.0,-1.0,-159.0,93.0,40.0,14.0,10.0,11.0,17.0,27.0,2
74.0,118.0,91.0,86.0,85.0,79.0,61.0,76.0,42.0,125.0,91.0,79.0,76.0,73.0,65.0,64.0,2
-140.0,11.0,103.0,90.0,95.0,109.0,106.0,97.0,1.0,-1.0,105.0,87.0,87.0,99.0,106.0,116.0,2
148.0,-65.0,-5.0,-4.0,-8.0,-10.0,-2.0,-4.0,70.0,-33.0,-28.0,-11.0,-10.0,-10.0,-24.0,-43.0,2
-47.0,-150.0,18.0,43.0,47.0,44.0,34.0,17.0,-24.0,-63.0,39.0,47.0,46.0,45.0,42.0,25.0,2
-10.0,73.0,-10.0,3.0,7.0,14.0,10.0,11.0,13.0,29.0,5.0,5.0,8.0,12.0,10.0,3.0,2
426.0,189.0,266.0,273.0,269.0,257.0,272.0,266.0,458.0,221.0,277.0,276.0,286.0,274.0,267.0,212.0,2
-638.0,-133.0,19.0,-11.0,-8.0,-41.0,-33.0,-20.0,-293.0,-346.0,-62.0,-14.0,4.0,31.0,30.0,44.0,2
90.0,44.0,-36.0,-33.0,-31.0,-25.0,-35.0,-33.0,-7.0,156.0,-24.0,-39.0,-37.0,-41.0,-47.0,-54.0,2
194.0,-77.0,-30.0,-44.0,-46.0,-47.0,-62.0,-70.0,38.0,257.0,-9.0,-35.0,-41.0,-58.0,-80.0,-130.0,2
102.0,25.0,64.0,48.0,45.0,38.0,34.0,44.0,35.0,-24.0,50.0,42.0,42.0,31.0,27.0,21.0,2
427.0,165.0,102.0,114.0,117.0,114.0,124.0,129.0,442.0,334.0,133.0,118.0,113.0,108.0,84.0,5.0,2
-85.0,-36.0,-45.0,-70.0,-67.0,-65.0,-61.0,-64.0,-130.0,-59.0,-70.0,-65.0,-67.0,-67.0,-65.0,-69.0,2
904.0,-175.0,-69.0,-23.0,-27.0,39.0,4.0,4.0,178.0,819.0,3.0,-21.0,-39.0,-56.0,-81.0,-216.0,2
-808.0,-396.0,39.0,-3.0,-34.0,-35.0,-20.0,-11.0,-473.0,-767.0,-18.0,15.0,13.0,8.0,48.0,54.0,2
27.0,36.0,17.0,35.0,39.0,42.0,34.0,32.0,30.0,80.0,15.0,33.0,42.0,41.0,23.0,35.0,2
-5.0,33.0,56.0,36.0,33.0,27.0,35.0,38.0,67.0,-19.0,35.0,31.0,28.0,36.0,43.0,51.0,2
140.0,-322.0,161.0,138.0,147.0,108.0,150.0,158.0,193.0,-499.0,168.0,144.0,149.0,152.0,141.0,78.0,2
-280.0,-324.0,-12.0,-52.0,-60.0,-84.0,-87.0,-75.0,-171.0,-399.0,-30.0,-47.0,-53.0,-54.0,-66.0,-47.0,2
-513.0,25.0,182.0,151.0,160.0,147.0,149.0,138.0,-93.0,-273.0,159.0,155.0,159.0,174.0,200.0,220.0,2
-323.0,119.0,-12.0,-17.0,-15.0,-16.0,-18.0,-25.0,-42.0,-37.0,-35.0,-15.0,-10.0,-3.0,-1.0,8.0,2
