0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
-27.0,-17.0,-15.0,-18.0,-30.0,-47.0,-63.0,-43.0,34.0,0.0,-10.0,-16.0,-21.0,-29.0,-24.0,9.0,3
49.0,55.0,50.0,47.0,39.0,31.0,18.0,5.0,56.0,47.0,42.0,37.0,35.0,31.0,26.0,5.0,3
38.0,53.0,50.0,53.0,45.0,39.0,24.0,19.0,65.0,37.0,33.0,33.0,33.0,28.0,22.0,20.0,3
-27.0,-2.0,1.0,-1.0,-3.0,2.0,-7.0,-8.0,-31.0,-24.0,-19.0,-20.0,-23.0,-30.0,-91.0,-142.0,3
-26.0,-6.0,-2.0,0.0,-1.0,-3.0,-4.0,-4.0,-28.0,-3.0,1.0,4.0,7.0,14.0,42.0,29.0,3
24.0,17.0,14.0,12.0,1.0,-11.0,-27.0,-41.0,-12.0,6.0,9.0,8.0,4.0,-8.0,-35.0,-91.0,3
25.0,23.0,21.0,18.0,7.0,10.0,0.0,2.0,29.0,20.0,25.0,16.0,25.0,27.0,38.0,58.0,3
-18.0,-14.0,-14.0,-12.0,-14.0,-21.0,-16.0,14.0,-35.0,-15.0,-13.0,-10.0,-14.0,-25.0,-43.0,-42.0,3
14.0,29.0,31.0,32.0,53.0,45.0,47.0,25.0,54.0,37.0,35.0,35.0,40.0,48.0,100.0,118.0,3
56.0,46.0,35.0,25.0,16.0,8.0,0.0,-4.0,62.0,43.0,31.0,24.0,17.0,9.0,6.0,15.0,3
-22.0,-15.0,-13.0,-17.0,-17.0,-16.0,-16.0,-20.0,4.0,3.0,-2.0,-3.0,2.0,10.0,50.0,63.0,3
-27.0,-42.0,-35.0,-38.0,-50.0,-50.0,-54.0,-45.0,-41.0,-44.0,-42.0,-49.0,-45.0,-54.0,-108.0,-132.0,3
27.0,24.0,22.0,25.0,23.0,12.0,3.0,0.0,5.0,19.0,19.0,19.0,17.0,1.0,-17.0,-11.0,3
17.0,14.0,8.0,1.0,-10.0,-19.0,-33.0,-55.0,12.0,5.0,-1.0,-5.0,-8.0,-12.0,-8.0,5.0,3
34.0,-34.0,-26.0,-26.0,-43.0,-37.0,-27.0,3.0,-49.0,-36.0,-38.0,-43.0,-37.0,-42.0,-55.0,-80.0,3
13.0,2.0,1.0,5.0,6.0,12.0,20.0,70.0,-14.0,-4.0,-4.0,-1.0,2.0,5.0,-10.0,-21.0,3
33.0,5.0,-3.0,-5.0,-12.0,-16.0,-28.0,-49.0,-30.0,-5.0,-2.0,-3.0,-6.0,-6.0,-12.0,-31.0,3
-3.0,7.0,12.0,14.0,12.0,3.0,-11.0,-31.0,-1.0,7.0,10.0,11.0,14.0,12.0,24.0,23.0,3
84.0,70.0,60.0,60.0,64.0,66.0,68.0,71.0,46.0,45.0,41.0,41.0,41.0,39.0,27.0,19.0,3
-34.0,-22.0,-18.0,-18.0,-18.0,-22.0,-32.0,-50.0,31.0,-4.0,-13.0,-16.0,-15.0,-15.0,-8.0,-20.0,3
-123.0,34.0,43.0,42.0,29.0,17.0,-10.0,-47.0,-32.0,-18.0,-3.0,-7.0,-28.0,-59.0,-252.0,-317.0,3
