0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
49.0,58.0,73.0,57.0,51.0,49.0,48.0,40.0,32.0,-15.0,23.0,29.0,25.0,23.0,29.0,29.0,2
-14.0,-47.0,-74.0,-54.0,-53.0,-46.0,-40.0,-43.0,-59.0,-24.0,-22.0,-45.0,-51.0,-50.0,-55.0,-56.0,2
-47.0,-42.0,-54.0,-47.0,-48.0,-47.0,-40.0,-43.0,-41.0,-134.0,-51.0,-48.0,-50.0,-49.0,-54.0,-47.0,2
5.0,8.0,-3.0,10.0,14.0,21.0,16.0,12.0,42.0,-48.0,29.0,8.0,11.0,13.0,13.0,21.0,2
43.0,25.0,35.0,26.0,27.0,32.0,51.0,47.0,54.0,0.0,51.0,39.0,33.0,19.0,19.0,12.0,2
-1.0,-12.0,-27.0,5.0,4.0,-1.0,2.0,2.0,-18.0,35.0,38.0,13.0,12.0,11.0,19.0,14.0,2
-31.0,-14.0,-6.0,-10.0,-14.0,-7.0,-15.0,-20.0,27.0,-38.0,-18.0,-13.0,-13.0,-16.0,-13.0,-13.0,2
-62.0,-81.0,-74.0,-80.0,-81.0,-84.0,-81.0,-74.0,10.0,-455.0,-63.0,-72.0,-77.0,-75.0,-72.0,-68.0,2
97.0,90.0,87.0,85.0,79.0,87.0,93.0,97.0,-308.0,-169.0,70.0,110.0,120.0,108.0,119.0,125.0,2
-72.0,-75.0,-22.0,-52.0,-56.0,-46.0,-60.0,-59.0,-105.0,-218.0,-51.0,-52.0,-47.0,-39.0,-42.0,-49.0,2
34.0,34.0,31.0,31.0,31.0,31.0,21.0,33.0,53.0,11.0,24.0,25.0,27.0,26.0,29.0,27.0,2
-186.0,-185.0,-188.0,-178.0,-184.0,-190.0,-186.0,-185.0,-404.0,-434.0,-193.0,-190.0,-185.0,-163.0,-130.0,-128.0,2
-116.0,-123.0,-101.0,-112.0,-112.0,-94.0,-90.0,-112.0,-330.0,-410.0,-142.0,-114.0,-105.0,-78.0,-35.0,-12.0,2
29.0,15.0,8.0,4.0,10.0,25.0,17.0,17.0,0.0,147.0,-1.0,8.0,10.0,7.0,19.0,28.0,2
46.0,44.0,44.0,43.0,38.0,39.0,46.0,48.0,-29.0,-5.0,42.0,50.0,55.0,31.0,44.0,50.0,2
59.0,59.0,39.0,44.0,45.0,40.0,37.0,39.0,38.0,45.0,46.0,50.0,49.0,49.0,48.0,49.0,2
27.0,25.0,47.0,46.0,40.0,29.0,39.0,49.0,55.0,-97.0,31.0,38.0,42.0,49.0,54.0,43.0,2
-120.0,-126.0,-128.0,-116.0,-119.0,-111.0,-116.0,-114.0,-299.0,-726.0,-106.0,-111.0,-105.0,-83.0,-73.0,-50.0,2
191.0,202.0,218.0,229.0,220.0,217.0,236.0,220.0,307.0,682.0,153.0,195.0,204.0,194.0,192.0,171.0,2
-6.0,-10.0,-5.0,-7.0,-12.0,-8.0,-3.0,-11.0,-15.0,90.0,-26.0,-10.0,-13.0,-13.0,-13.0,-9.0,2
-62.0,-46.0,-69.0,-52.0,-46.0,-43.0,-21.0,-28.0,-64.0,-173.0,-6.0,-24.0,-29.0,-29.0,-28.0,-31.0,2
37.0,37.0,25.0,28.0,31.0,38.0,40.0,39.0,-178.0,-80.0,32.0,37.0,42.0,54.0,69.0,90.0,2
13.0,25.0,13.0,24.0,27.0,33.0,33.0,29.0,29.0,37.0,58.0,31.0,29.0,24.0,28.0,32.0,2
-48.0,-53.0,-73.0,-59.0,-51.0,-52.0,-45.0,-50.0,-66.0,-98.0,-38.0,-48.0,-53.0,-56.0,-65.0,-70.0,2
