0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
76.0,-32.0,-36.0,14.0,9.0,6.0,32.0,78.0,14.0,11.0,14.0,11.0,9.0,12.0,11.0,9.0,2
15.0,24.0,37.0,39.0,34.0,32.0,40.0,32.0,21.0,17.0,21.0,19.0,19.0,19.0,15.0,19.0,2
-237.0,32.0,30.0,35.0,47.0,47.0,28.0,-12.0,-60.0,35.0,-26.0,9.0,-15.0,-32.0,-13.0,-52.0,2
-13.0,-47.0,-48.0,-36.0,-42.0,-46.0,-42.0,-49.0,-30.0,-14.0,-22.0,-26.0,-37.0,-39.0,-33.0,-35.0,2
-96.0,21.0,11.0,24.0,21.0,14.0,-8.0,-152.0,-275.0,-118.0,-182.0,-111.0,-118.0,-128.0,-148.0,-185.0,2
-16.0,-14.0,-14.0,-12.0,-20.0,-22.0,-31.0,-34.0,-23.0,-10.0,-28.0,-24.0,-24.0,-19.0,-19.0,-37.0,2
58.0,40.0,53.0,54.0,42.0,41.0,41.0,24.0,58.0,45.0,46.0,46.0,46.0,46.0,48.0,40.0,2
-27.0,-9.0,-6.0,4.0,1.0,-1.0,-9.0,-16.0,-8.0,-3.0,-7.0,-7.0,-9.0,-10.0,-11.0,-8.0,2
-17.0,-32.0,-52.0,-40.0,-33.0,-35.0,-40.0,-71.0,-138.0,-58.0,-105.0,-66.0,-75.0,-88.0,-64.0,-93.0,2
-49.0,-45.0,-56.0,-41.0,-34.0,-31.0,-30.0,-31.0,-83.0,-25.0,-58.0,-35.0,-43.0,-50.0,-33.0,-91.0,2
90.0,-45.0,-26.0,-34.0,-35.0,-36.0,-36.0,-15.0,52.0,10.0,29.0,8.0,-11.0,-48.0,-5.0,-22.0,2
-19.0,-12.0,-10.0,-18.0,-16.0,-20.0,-21.0,-28.0,-26.0,-28.0,-22.0,-26.0,-26.0,-28.0,-30.0,-28.0,2
52.0,39.0,37.0,38.0,45.0,43.0,43.0,38.0,-43.0,23.0,0.0,21.0,17.0,13.0,18.0,-26.0,2
-67.0,-44.0,-54.0,-22.0,-43.0,-47.0,-40.0,-57.0,-64.0,-26.0,-64.0,-45.0,-53.0,-51.0,-40.0,-83.0,2
72.0,57.0,53.0,49.0,45.0,43.0,43.0,50.0,55.0,50.0,51.0,51.0,50.0,52.0,50.0,48.0,2
-260.0,19.0,12.0,20.0,21.0,21.0,10.0,-56.0,-162.0,-14.0,-96.0,-42.0,-51.0,-22.0,28.0,-111.0,2
78.0,70.0,46.0,85.0,67.0,63.0,64.0,44.0,-51.0,20.0,-47.0,9.0,3.0,-1.0,20.0,-13.0,2
191.0,-25.0,-15.0,-8.0,-10.0,-9.0,-4.0,13.0,92.0,13.0,40.0,32.0,31.0,17.0,-24.0,46.0,2
-28.0,-2.0,10.0,26.0,14.0,13.0,-3.0,-9.0,-75.0,-14.0,-49.0,-18.0,-24.0,-32.0,-22.0,-71.0,2
-92.0,-10.0,-33.0,2.0,42.0,48.0,33.0,3.0,-75.0,24.0,-44.0,-39.0,-18.0,-24.0,-2.0,-69.0,2
84.0,43.0,38.0,21.0,19.0,18.0,21.0,39.0,34.0,34.0,35.0,32.0,32.0,31.0,31.0,29.0,2
180.0,-14.0,-10.0,-2.0,-2.0,-2.0,-2.0,29.0,77.0,7.0,32.0,28.0,25.0,12.0,-45.0,45.0,2
-75.0,-56.0,-59.0,-58.0,-62.0,-70.0,-66.0,-47.0,-153.0,-80.0,-121.0,-86.0,-100.0,-103.0,-86.0,-111.0,2
